selector,model,k,feature,fold_selection_count
chi2,random_forest,10,CreateDirectoryW,3
chi2,random_forest,10,CryptHashData,3
chi2,random_forest,10,GetSystemMetrics,3
chi2,random_forest,10,NtReadFile,3
chi2,random_forest,10,NtWriteFile,3
chi2,random_forest,10,RegQueryValueExW,3
chi2,random_forest,10,SetFileTime,3
chi2,random_forest,10,GetFileAttributesW,2
chi2,random_forest,10,GetForegroundWindow,2
chi2,random_forest,10,NtDelayExecution,2
chi2,random_forest,10,RegOpenKeyExW,2
chi2,random_forest,10,DrawTextExW,1
chi2,random_forest,20,CreateDirectoryW,3
chi2,random_forest,20,CryptHashData,3
chi2,random_forest,20,DrawTextExW,3
chi2,random_forest,20,GetFileAttributesW,3
chi2,random_forest,20,GetSystemMetrics,3
chi2,random_forest,20,NtDelayExecution,3
chi2,random_forest,20,NtReadFile,3
chi2,random_forest,20,NtWriteFile,3
chi2,random_forest,20,RegCloseKey,3
chi2,random_forest,20,RegEnumKeyExW,3
chi2,random_forest,20,RegOpenKeyExW,3
chi2,random_forest,20,RegQueryValueExW,3
chi2,random_forest,20,SetFilePointerEx,3
chi2,random_forest,20,SetFileTime,3
chi2,random_forest,20,CryptCreateHash,2
chi2,random_forest,20,FindResourceExW,2
chi2,random_forest,20,GetForegroundWindow,2
chi2,random_forest,20,LdrGetProcedureAddress,2
chi2,random_forest,20,LdrLoadDll,2
chi2,random_forest,20,NtClose,2
chi2,random_forest,20,NtDeviceIoControlFile,2
chi2,random_forest,20,CreateThread,1
chi2,random_forest,20,GetKeyState,1
chi2,random_forest,20,NtReadVirtualMemory,1
chi2,random_forest,20,__exception__,1
chi2,random_forest,30,CreateDirectoryW,3
chi2,random_forest,30,CryptCreateHash,3
chi2,random_forest,30,CryptHashData,3
chi2,random_forest,30,DrawTextExW,3
chi2,random_forest,30,GetFileAttributesW,3
chi2,random_forest,30,GetSystemMetrics,3
chi2,random_forest,30,NtDelayExecution,3
chi2,random_forest,30,NtQuerySystemInformation,3
chi2,random_forest,30,NtReadFile,3
chi2,random_forest,30,NtReadVirtualMemory,3
chi2,random_forest,30,NtWriteFile,3
chi2,random_forest,30,Process32NextW,3
chi2,random_forest,30,RegCloseKey,3
chi2,random_forest,30,RegEnumKeyExW,3
chi2,random_forest,30,RegOpenKeyExW,3
chi2,random_forest,30,RegQueryValueExW,3
chi2,random_forest,30,SetFilePointerEx,3
chi2,random_forest,30,SetFileTime,3
chi2,random_forest,30,CreateProcessInternalW,2
chi2,random_forest,30,CreateThread,2
chi2,random_forest,30,FindFirstFileExW,2
chi2,random_forest,30,FindResourceExW,2
chi2,random_forest,30,GetAsyncKeyState,2
chi2,random_forest,30,GetFileType,2
chi2,random_forest,30,GetForegroundWindow,2
chi2,random_forest,30,GetKeyState,2
chi2,random_forest,30,LdrGetProcedureAddress,2
chi2,random_forest,30,LdrLoadDll,2
chi2,random_forest,30,NtClose,2
chi2,random_forest,30,NtDeviceIoControlFile,2
chi2,random_forest,30,NtQueryDirectoryFile,2
